-863,500,0
-209,412,0
78,245,0
-460,339,0
-248,191,0
35,268,0
-887,500,0
-4,283,0
-651,426,0
43,268,0
66,253,0
-755,498,0
-217,192,1
-43,74,0
118,225,1
231,152,0
76,259,1
-280,231,1
-198,401,0
-130,329,1
-20,79,0
-201,172,0
-274,221,1
-61,92,1
253,154,1
254,149,1
-137,136,1
285,138,0
339,88,1
129,226,1
351,84,0
-215,198,1
-29,88,1
314,109,1
-394,293,1
275,148,1
207,184,1
356,83,1
-221,188,1
-70,121,1
-261,248,1
300,123,1
-52,91,1
344,103,1
-569,408,1
416,51,1
398,61,1
399,72,1
-61,88,1
243,148,1
-40,83,2
387,68,2
54,33,2
42,37,1
24,51,1
310,125,2
18,57,1
-296,235,2
-15,66,1
-86,121,1
341,90,1
440,55,1
435,52,2
-185,160,1
-45,88,1
388,75,2
71,28,1
23,56,1
29,54,0
46,45,1
452,43,2
445,34,2
395,68,1
-89,140,2
41,42,2
-25,92,2
445,42,1
15,56,1
391,84,1
397,70,2
-41,108,2
315,136,2
377,82,1
24,55,1
425,50,1
470,21,2
396,67,2
469,26,2
489,14,0
45,42,4
52,35,3
33,54,3
422,57,2
409,66,2
-7,78,3
426,45,2
16,63,3
27,56,2
478,21,1
-94,133,2
40,43,3
70,25,2
11,56,3
-72,111,3
394,81,2
442,45,2
452,39,3
444,47,3
394,77,3
439,56,3
59,32,2
454,33,2
456,27,2
423,56,3
470,29,4
448,39,3
462,33,3
447,40,3
477,18,4
482,21,5
-25,72,4
459,28,4
487,16,5
427,52,4
467,24,4
438,41,4
423,52,5
444,39,5
430,49,5
472,23,4
443,40,4
430,57,4
464,39,5
448,39,4
445,38,3
473,26,4
462,33,4
474,17,4
454,33,3
465,30,4
468,23,5
451,40,6
428,59,4
-49,100,5
-12,79,5
456,39,4
476,27,5
58,41,4
440,47,5
424,51,5
485,18,8
486,17,6
31,48,7
76,19,5
446,45,6
-209,248,5
495,8,5
487,16,5
488,11,4
1,94,6
479,24,7
-42,121,7
466,25,6
435,48,5
424,59,5
480,15,7
489,14,7
488,15,4
445,42,5
488,11,8
482,17,6
478,25,4
455,36,5
462,33,7
474,17,10
483,20,7
451,24,9
445,42,7
479,20,7
470,17,7
472,19,8
489,14,8
467,28,8
460,35,8
484,15,9
489,14,13
464,31,5
493,10,8
455,32,8
484,19,8
485,18,5
440,51,6
490,13,10
414,69,9
473,22,10
468,23,9
346,65,9
439,52,9
460,43,9
401,78,8
493,10,10
38,49,8
471,32,8
485,18,8
415,60,8
470,25,11
471,28,11
467,24,11
462,29,14
483,20,10
481,18,13
476,27,12
479,20,9
446,45,8
493,10,9
475,20,9
485,18,10
490,9,12
492,11,10
486,17,9
482,17,10
481,14,13
495,8,11
493,10,6
484,19,11
489,14,9
462,29,9
488,11,8
485,18,9
476,15,10
436,51,12
482,17,14
483,20,13
486,13,16
487,16,11
491,12,9
475,24,11
486,17,13
472,23,11
487,16,17
488,11,10
472,23,13
490,9,9
493,10,16
458,25,12
495,8,12
489,14,13
489,14,9
495,8,10
482,17,15
485,18,14
487,16,12
437,30,9
487,16,8
495,8,7
488,11,10
484,19,10
472,23,9
478,25,14
479,20,8
482,17,18
484,15,20
476,19,20
482,21,15
481,18,15
490,13,18
468,27,12
486,17,15
471,20,17
490,13,16
450,29,11
466,29,14
475,24,15
482,17,12
489,14,9
466,21,16
4,95,13
451,20,12
425,42,16
454,33,12
493,10,14
443,56,18
485,14,17
487,16,13
493,10,15
495,8,14
483,12,16
491,12,18
493,10,15
493,10,15
481,14,10
491,12,14
488,11,17
447,28,14
320,63,14
486,13,10
468,15,12
337,58,13
493,10,13
360,43,13
491,12,13
484,15,12
476,19,12
494,9,13
482,21,16
427,32,20
491,12,17
392,35,19
491,12,18
489,14,20
432,31,16
478,17,15
495,8,14
471,16,14
489,14,16
450,25,15
489,14,15
466,29,12
488,11,14
495,8,12
491,12,13
485,18,13
495,8,10
495,8,10
491,12,14
491,12,11
486,13,12
487,16,15
486,17,14
493,10,11
495,8,12
495,8,12
463,16,13
488,15,16
495,8,15
495,8,12
495,8,14
428,23,12
495,8,16
399,32,24
459,40,18
490,9,16
305,62,15
491,12,16
417,46,13
487,16,13
437,26,12
495,8,14
440,51,12
493,10,12
493,10,15
495,8,12
493,10,13
474,25,12
476,15,11
453,22,11
493,10,12
491,12,11
489,14,13
495,8,12
493,10,12
491,12,11
488,11,8
493,10,9
488,11,13
4,239,16
495,8,17
468,15,11
493,10,11
493,10,9
491,12,12
415,32,12
479,16,13
470,13,12
495,8,12
491,12,12
495,8,10
488,11,10
493,10,11
495,8,12
10,409,16
-902,500,16
